timestamp,symbol,side,price,volume,fee,cumulative_pnl
2026-07-29 17:48:12.655788+00:00,BTC/USD,buy,63866.884185,0.00039132,0.039987822590838720,-25.032376941865038720
2026-07-29 17:48:42.741730+00:00,BTC/USD,buy,63869.383435,0.00039131,0.039988365491119760,-50.065093739306008480
2026-07-29 17:49:13.076320+00:00,BTC/USD,buy,63878.480705,0.00039125,0.039987928921330000,-75.097537244058588480
2026-07-29 17:49:42.954289+00:00,BTC/USD,buy,63880.780015,0.00039124,0.039988346196909760,-100.130241963324098240
2026-07-29 17:50:04.426285+00:00,BTC/USD,sell,63919.119985,0.00039124,0.040012346404690240,-75.162537806797388480
2026-07-29 17:50:13.030041+00:00,BTC/USD,buy,63941.3232623771985500,0.00039098,0.0399996457105987793425264000,-100.2023160216322243484215264
2026-07-29 17:50:42.019636+00:00,BTC/USD,sell,63979.6883123771985500,0.00039098,0.0400236456581971793425264000,-75.22756113091718443868505280
2026-07-29 17:50:43.145755+00:00,BTC/USD,buy,63998.47282627947847781680925,0.00039075,0.04001184521098992994433106914,-100.2749762329968805838363021
2026-07-29 17:51:13.455317+00:00,BTC/USD,buy,63979.47852627947847781680925,0.00039086,0.04001123036285055513254316490,-125.3220064401413280968083234
2026-07-29 17:51:43.365655+00:00,BTC/USD,buy,63998.47282627947847781680925,0.00039075,0.04001184521098992994433106914,-150.3694215422210242419595727
2026-07-29 17:52:13.439375+00:00,BTC/USD,buy,63979.81724383682694815540406,0.00039075,0.04000018174084678420798675862,-175.4095353119911111561592836
2026-07-29 17:52:43.558360+00:00,BTC/USD,buy,63979.81724383682694815540406,0.00039075,0.04000018174084678420798675862,-200.4496490817611980703589945
2026-07-29 17:53:13.813547+00:00,BTC/USD,buy,63994.81274383682694815540406,0.00039065,0.03999931775740777031567505376,-225.4892219978984622879715782
2026-07-29 17:53:43.823997+00:00,BTC/USD,buy,64010.40806383682694815540406,0.00039056,0.03999984795745937781259451938,-250.5291268192680327986557473
2026-07-29 17:53:57.745787+00:00,BTC/USD,sell,64048.81457383682694815540406,0.00039056,0.04002384803193233781259451938,-225.5542456473422540035967672
2026-07-29 17:54:13.897302+00:00,BTC/USD,buy,64066.95790260179523150505774,0.00039033,0.04001160908499609397234139071,-250.6015129345498088302824778
2026-07-29 17:54:20.674445+00:00,BTC/USD,sell,64105.38709260179523150505774,0.00039033,0.04003560919016841397234139071,-225.6192927998847185115414500
2026-07-29 17:54:43.996701+00:00,BTC/USD,buy,64152.14359265109475650505774,0.00038981,0.04001143535016211719525317850,-250.6664513290862038757699398
2026-07-29 17:55:14.109591+00:00,BTC/USD,buy,64115.49360233070626406978281,0.00038992,0.03999986122467326237837774354,-275.7063644557316661246344072
2026-07-29 17:55:44.236536+00:00,BTC/USD,buy,64099.59837233070626406978281,0.00039002,0.04000020057148227529137999471,-300.7464900134795704570382839
2026-07-29 17:56:14.295274+00:00,BTC/USD,buy,64109.59537233070626406978281,0.00038995,0.03999925874470457425227841889,-325.7860259876646339389645741
2026-07-29 17:59:55.213923+00:00,BTC/USD,sell,64148.06140233070626406978281,0.00038995,0.04002325847014217425227841889,-300.8115127022959172055428407
